id,word,sentence,following_constituent,POS,has_predicate,has_pronoun,has_modal,token_length
1,sejak,"Sejak awal pendakian, mereka selalu berada di belakang rombongan Rio.",awal pendakian,PREP,NO,NO,NO,2
2,sejak,"Sejak dari basecamp, Beni sudah memberi kabar kepada Rio terkait kedatangan kami berdua.",dari basecamp,PREP,NO,NO,NO,2
3,sejak,"Sejak dari Oro-Oro Ombo, teman lainnya sudah memintanya untuk berhenti sebentar tapi Rama memilih tetap berjalan.",dari Oro-Oro Ombo,PREP,NO,NO,NO,3
4,sejak,Jalur Tretes ini memang dikenal kejam bagi para pendaki karena sejak dari Pos 1 mereka selalu dihajar oleh trek berbatu dan tanjakan curam.,dari Pos 1,PREP,NO,NO,NO,3
5,sejak,"Mas Deni, sejak kecil, dikenal pemberani.",kecil,PREP,NO,NO,NO,1
6,sejak,"Sejak kecil, Mila memang hobi menggambar.",kecil,PREP,NO,NO,NO,1
7,sejak,"Sejak peristiwa kecelakaan itu, keluarga kami sudah tidak pernah lagi berhubungan dengan dia.",peristiwa kecelakaan itu,PREP,NO,NO,NO,3
8,sejak,"Iya Om, aku juga merasakan hal serupa sejak pertama kali ke sini.",pertama kali ke sini,PREP,NO,NO,NO,4
9,sejak,Dia pergi sejak sebelum Maghrib.,Maghrib,PREP,NO,NO,NO,1
10,sejak,Ini masalah yang sensitif dan bisa menimbulkan kesalahpahaman jika tidak dikomunikasikan sejak awal.,awal,PREP,NO,NO,NO,1
11,sejak,Terkonfirmasi kedua survivor adalah anggota Mapala Hargo Inggil yang menuju basecamp Cibodas sejak empat hari yang lalu.,empat hari yang lalu,PREP,NO,NO,NO,4
12,sejak,Pengalaman aneh pak rusdi kesibukan di dapur sudah terlihat sejak dini hari.,dini hari,PREP,YES,NO,NO,2
13,sejak,Sejak itulah petualangan mereka dimulai hingga mereka duduk di bangku kuliah.,itulah petualangan mereka dimulai,PREP,YES,YES,NO,4
14,sejak,Dia sudah menduga akan adanya kejadian ini sejak awal kami masuk.,awal kami masuk,CONJ,NO,YES,NO,3
15,sejak,"Berarti memang dari malam bisa jadi sudah masuk, soalnya pagi sejak berangkat sampai terakhir di Samaranthu itu Mila sudah bener-benar berubah.",berangkat sampai terakhir,CONJ,YES,NO,NO,3
16,sejak,"Memang, sejak berangkat tadi, posisi daypack itu diletakkan di atas carrier karena tidak cukup tempat di bagasi.",berangkat tadi,CONJ,YES,NO,NO,2
17,sejak,Ada dua pasang mata yang mengawasi dari Alas Lali Jiwo sejak kedatangannya di sabana Lembah Kidang.,kedatangannya di sabana,CONJ,NO,NO,NO,3
18,sejak,"Sejak kedatangannya ke asrama yang berdiri di bekas lahan pemakaman, alam bawah sadarnya seperti merasakan ada sesuatu yang berbeda dari tempatnya bekerja.",kedatangannya ke asrama yang berdiri di bekas lahan pemakaman,CONJ,YES,NO,NO,9
19,sejak,"Sejak sebelum bekerja di perusahaan ini, hendro memang getol sekali berburu benda-benda pusaka.",sebelum bekerja di perusahaan ini,CONJ,NO,NO,NO,5
20,sejak,"Sejak datang tadi, belum sepatah kata keluar dari mulutnya.",datang tadi,CONJ,NO,NO,NO,2
21,sejak,Kegemaran ini didapat sejak masih tinggal di Bandung.,masih tinggal di Bandung,CONJ,NO,NO,NO,4
22,sejak,"Sejak Mbak Asti bekerja, baru sekali itu belau berkesempatan menyambangi keponakannya.",Mbak Asti bekerja,CONJ,NO,NO,NO,3
23,sejak,"Tumben, sejak kapan kamu percaya cerita seperti itu, Yo?",kapan kamu percaya,ADV,NO,YES,NO,3
24,sejak,Lalu sebenarnya sejak kapan Kinanti meminjam badan Mila ya?,kapan Kinanti meminjam,ADV,YES,NO,NO,3
25,karena,Kali ini bukan hanya Janu tapi ayah Rama juga terkejut karena dia tidak asing lagi dengan suaranya.,dia tidak asing lagi,CONJ,NO,YES,NO,4
