id,word,sentence,following_constituent,POS,has_predicate,has_pronoun,has_modal,token_length,prediction
1,sejak,sejak awal pendakian mereka selalu berada di belakang rombongan rio,awal pendakian,PREP,NO,NO,NO,2,PREP
2,sejak,sejak dari basecamp beni sudah memberi kabar kepada rio terkait kedatangan kami berdua,dari basecamp,PREP,NO,NO,NO,2,PREP
3,sejak,sejak dari orooro ombo teman lainnya sudah memintanya untuk berhenti sebentar tapi rama memilih tetap berjalan,dari orooro ombo,PREP,NO,NO,NO,3,PREP
4,sejak,jalur tretes ini memang dikenal kejam bagi para pendaki karena sejak dari pos 1 mereka selalu dihajar oleh trek berbatu dan tanjakan curam,dari pos 1,PREP,NO,NO,NO,3,PREP
5,sejak,mas deni sejak kecil dikenal pemberani,kecil,PREP,NO,NO,NO,1,PREP
6,sejak,sejak kecil mila memang hobi menggambar,kecil,PREP,NO,NO,NO,1,PREP
7,sejak,sejak peristiwa kecelakaan itu keluarga kami sudah tidak pernah lagi berhubungan dengan dia,peristiwa kecelakaan itu,PREP,NO,NO,NO,3,PREP
8,sejak,iya om aku juga merasakan hal serupa sejak pertama kali ke sini,pertama kali ke sini,PREP,NO,NO,NO,4,PREP
9,sejak,dia pergi sejak sebelum maghrib,maghrib,PREP,NO,NO,NO,1,PREP
10,sejak,ini masalah yang sensitif dan bisa menimbulkan kesalahpahaman jika tidak dikomunikasikan sejak awal,awal,PREP,NO,NO,NO,1,PREP
11,sejak,terkonfirmasi kedua survivor adalah anggota mapala hargo inggil yang menuju basecamp cibodas sejak empat hari yang lalu,empat hari yang lalu,PREP,NO,NO,NO,4,PREP
12,sejak,pengalaman aneh pak rusdi kesibukan di dapur sudah terlihat sejak dini hari,dini hari,PREP,YES,NO,NO,2,CONJ
13,sejak,sejak itulah petualangan mereka dimulai hingga mereka duduk di bangku kuliah,itulah petualangan mereka dimulai,PREP,YES,YES,NO,4,CONJ
14,sejak,dia sudah menduga akan adanya kejadian ini sejak awal kami masuk,awal kami masuk,CONJ,NO,YES,NO,3,CONJ
